sleep_ts,step_count,heart_rate,current_activity_type_intensity,stress_level_value,sleep_level,resting_heart_rate
18/10/2023 00:00,0,0,0,0,0,0
18/10/2023 00:05,0,69,8,14,0,0
18/10/2023 00:10,11533,67,70,1,0,0
18/10/2023 00:15,7654,68,70,0,0,0
18/10/2023 00:20,0,66,8,1,0,0
18/10/2023 00:25,11543,67,70,1,0,0
18/10/2023 00:30,0,64,0,2,0,0
18/10/2023 00:35,7742,68,72,2,0,0
18/10/2023 00:40,0,68,136,10,0,0
18/10/2023 00:45,7830,75,70,5,0,0
18/10/2023 00:50,0,70,0,3,0,0
18/10/2023 00:55,0,69,0,8,0,0
18/10/2023 01:00,7856,67,70,3,0,0
18/10/2023 01:05,0,70,40,4,0,0
18/10/2023 01:10,0,73,0,4,0,0
18/10/2023 01:15,0,76,0,3,0,0
18/10/2023 01:20,0,78,8,9,0,0
18/10/2023 01:25,11555,74,136,18,0,0
18/10/2023 01:30,0,77,136,39,0,0
18/10/2023 01:35,0,81,168,11,0,0
18/10/2023 01:40,0,77,0,6,0,0
18/10/2023 01:45,0,77,8,10,0,0
18/10/2023 01:50,12068,71,104,4,0,0
18/10/2023 01:55,11565,66,38,6,0,0
18/10/2023 02:00,0,63,136,1,0,0
18/10/2023 02:05,0,67,8,3,0,0
18/10/2023 02:10,11581,58,102,7,0,0
18/10/2023 02:15,0,76,0,3,0,0
18/10/2023 02:20,7907,88,168,6,0,0
18/10/2023 02:25,0,80,8,4,0,0
18/10/2023 02:30,3916,84,136,5,0,0
18/10/2023 02:35,3925,85,38,6,0,0
18/10/2023 02:40,0,79,0,5,0,0
18/10/2023 02:45,0,86,0,10,0,0
18/10/2023 02:50,0,81,0,10,0,0
18/10/2023 02:55,0,81,0,14,0,0
18/10/2023 03:00,0,89,0,11,0,0
18/10/2023 03:05,11592,85,134,15,0,0
18/10/2023 03:10,0,77,0,5,0,0
18/10/2023 03:15,0,66,0,10,0,0
18/10/2023 03:20,11626,71,102,4,0,0
18/10/2023 03:25,0,72,0,9,0,0
18/10/2023 03:30,11638,86,38,13,0,0
18/10/2023 03:35,0,93,104,18,0,0
18/10/2023 03:40,0,90,72,7,0,0
18/10/2023 03:45,0,85,104,4,0,0
18/10/2023 03:50,0,77,0,4,0,0
18/10/2023 03:55,0,74,0,9,0,0
18/10/2023 04:00,0,66,168,0,0,0
18/10/2023 04:05,0,72,8,1,0,0
18/10/2023 04:10,0,76,0,6,0,0
18/10/2023 04:15,12255,77,102,1,0,0
18/10/2023 04:20,0,75,0,1,0,0
18/10/2023 04:25,11649,78,70,1,0,0
18/10/2023 04:30,0,78,40,2,0,0
18/10/2023 04:35,0,76,136,10,0,0
18/10/2023 04:40,0,69,0,11,0,0
18/10/2023 04:45,0,81,136,12,0,0
18/10/2023 04:50,11667,78,70,5,0,0
18/10/2023 04:55,0,79,168,18,0,0
18/10/2023 05:00,46,73,200,60,1,0
18/10/2023 05:05,0,66,200,-2,0,0
18/10/2023 05:10,0,63,168,46,0,0
18/10/2023 05:15,0,64,136,-2,0,0
18/10/2023 05:20,0,52,168,22,0,0
18/10/2023 05:25,11706,65,104,27,0,0
18/10/2023 05:30,11728,0,104,-1,0,0
18/10/2023 05:35,0,66,232,-2,0,0
18/10/2023 05:40,0,65,0,-2,1,0
18/10/2023 05:45,0,66,0,-2,1,0
18/10/2023 05:50,0,67,0,-2,1,0
